model,method,main_point_given,main_point_inferred,main_point_error (%),middle_point_given,middle_point_error (%),time
8,SLSQP,[0.09354112 0.01310433 0.00097684],[ 0.09996986  0.0132863  -0.00290327],7.9516890199044585,[0.04530684 0.04154589 0.09539624],2.963251567792806,0.14681696891784668
8,SLSQP,[0.16878869 0.13768798 0.00195429],[0.16878872 0.1376877  0.00195401],0.00018158583672593504,[0.06814563 0.12455638 0.0191677 ],0.0004356920219594293,0.6167027950286865
8,SLSQP,[0.06742122 0.02956344 0.21571235],[0.06742119 0.0295638  0.21571235],0.0001572289033922179,[0.09906824 0.07657155 0.07105647],37.418677875133035,0.825857400894165
8,SLSQP,[0.00773859 0.16190846 0.09025279],[0.00769504 0.16191749 0.09024255],0.024604001608728287,[0.07602922 0.03061242 0.01063531],98.81376197376088,1.0516643524169922
8,SLSQP,[0.14637846 0.0462556  0.09418473],[0.1463783  0.04625568 0.09418486],0.0001224891956613029,[0.07120297 0.0245095  0.0609738 ],73.48698262214164,0.4819331169128418
8,SLSQP,[0.20242354 0.15570894 0.02773211],[0.18922    0.1513871  0.02912448],5.4353093440108085,[0.01002728 0.09689566 0.06651621],18.487361266726467,0.15971899032592773
8,SLSQP,[0.07910803 0.01836487 0.23848643],[0.07909955 0.01837067 0.23848576],0.004089534597003453,[0.03800189 0.08857867 0.01847536],58.414054429823025,1.0904240608215332
8,SLSQP,[0.10702338 0.14943091 0.08297951],[0.10702344 0.14943095 0.08297915],0.00018425556651059882,[0.06997775 0.03504214 0.09044282],6.447413583532,1.0676136016845703
8,SLSQP,[0.15920482 0.06369686 0.20036634],[0.15920457 0.06369679 0.20036594],0.00017947836757476658,[0.08538865 0.10544441 0.00737087],85.66983413358962,0.5254325866699219
8,SLSQP,[0.2439725  0.05107642 0.07979317],[0.19765408 0.05808396 0.07659483],17.94063544501182,[0.0158298  0.06756006 0.00091035],60.10598181395554,0.1307060718536377
8,SLSQP,[0.19128488 0.14754094 0.1508373 ],[0.17297663 0.14032823 0.14302814],7.433571194932813,[0.00891375 0.01840741 0.01057823],44.65258323876828,0.13572454452514648
8,SLSQP,[0.19123229 0.18170696 0.14095138],[0.16615797 0.16582059 0.12866551],10.741064550385001,[0.08032891 0.06134484 0.04799612],51.405002269383424,0.11453723907470705
8,SLSQP,[0.09016637 0.22074369 0.11206877],[0.09017152 0.22074663 0.11206149],0.0035620466419981943,[0.01076498 0.10411778 0.04930727],2.130360817176729,1.1317601203918457
8,SLSQP,[0.07487009 0.10944216 0.19901839],[0.07494047 0.10949236 0.19902107],0.036165106897279614,[0.01332201 0.11234737 0.05096447],9.571592691418596,1.0866694450378418
8,SLSQP,[0.03184627 0.24685117 0.01240427],[0.03184426 0.24684957 0.0124035 ],0.0010739249324215627,[0.03694197 0.11631316 0.03903336],3.6992527948700986,1.0709340572357178
8,SLSQP,[0.0563015  0.00452241 0.22055086],[0.05630164 0.00452525 0.22054642],0.002314926657617863,[0.00791106 0.13974054 0.03774514],37.019611473014315,1.0719101428985596
8,SLSQP,[0.24894092 0.05312291 0.13439051],[0.19366215 0.05968636 0.1162567 ],20.339524294902102,[0.08281157 0.10485365 0.03529863],42.54444772604755,0.12310314178466795
8,SLSQP,[0.1716611  0.01149853 0.14707575],[0.17166127 0.01149857 0.14707571],7.677082137918747e-05,[0.007896   0.03722831 0.0649585 ],10.488127772229806,0.31636571884155273
8,SLSQP,[0.01417072 0.15306518 0.01510131],[0.01417075 0.15306519 0.01510133],2.8025045322088886e-05,[0.08578455 0.11998083 0.01702232],52.809368411929405,0.8545441627502441
8,SLSQP,[0.25937941 0.02846031 0.01549879],[0.19203798 0.05149232 0.03254061],27.99701853462325,[0.01528494 0.10105769 0.07105867],18.93206501911524,0.11295223236083984
8,SLSQP,[0.23554107 0.16528864 0.01687359],[0.18951416 0.1491214  0.02589816],17.211620370717746,[0.0759957  0.09639259 0.08065792],27.23401763453383,0.1161050796508789
8,SLSQP,[0.11527074 0.09905233 0.14629922],[0.11527081 0.0990521  0.14629929],0.00012052947029477662,[0.03524561 0.05170851 0.00015597],99.9999614476257,0.3228423595428467
8,SLSQP,[0.06413289 0.15433035 0.17742359],[0.06411389 0.15441074 0.17729929],0.061233858041287136,[0.0171071  0.11969055 0.05585059],4.595694492308744,1.0515422821044922
8,SLSQP,[0.00091189 0.04603305 0.13183134],[0.00091173 0.04603304 0.13183133],0.00011071207681305268,[0.12013566 0.05341624 0.06606279],92.6744467415773,0.3550877571105957
8,SLSQP,[0.21809642 0.04963476 0.06318613],[0.19813699 0.0495819  0.06687938],8.733215408883664,[0.10061055 0.02236444 0.0605805 ],31.576279616594334,0.10577034950256348
8,SLSQP,[0.0179523  0.15213279 0.00538641],[0.01785196 0.15253436 0.0057748 ],0.3702961365761913,[0.03754538 0.06986317 0.06808283],28.43194443840917,1.1020631790161133
8,SLSQP,[0.02591435 0.23926103 0.06306466],[0.02592052 0.2392515  0.0630656 ],0.004580738355587137,[0.01976241 0.12349704 0.03422966],9.91973172889661,1.2407379150390625
8,SLSQP,[0.06821807 0.04380745 0.15781971],[0.06821791 0.04380727 0.15781983],0.00015426111233745284,[0.12842561 0.05920536 0.01525135],99.99924638457199,0.3807666301727295
8,SLSQP,[0.2533824  0.08855073 0.07459828],[0.19784135 0.08927258 0.06310998],20.360620570627276,[0.07481242 0.0838241  0.02735384],13.895263334181154,0.12716007232666016
8,SLSQP,[0.15581297 0.04234115 0.07866251],[0.15581308 0.04234117 0.07866237],9.960801974323091e-05,[0.09250524 0.04995657 0.00571907],45.56895719564931,1.2735068798065186
8,SLSQP,[0.01782627 0.18118009 0.00020591],[0.01782603 0.18117958 0.00020603],0.00031951822308810547,[0.09240612 0.03056408 0.11141227],63.32837541148004,0.6584506034851074
8,SLSQP,[0.1696475  0.07667466 0.03308739],[0.16964755 0.07667467 0.03308676],0.00033408432037847815,[0.12095055 0.08142414 0.01360115],11.00376089470793,0.9929637908935548
8,SLSQP,[0.14355052 0.03172273 0.08945566],[0.14355072 0.03172271 0.08945605],0.0002544474951888313,[0.00523901 0.10417535 0.06219286],13.210251055593018,0.3213770389556885
8,SLSQP,[0.1265944  0.25810913 0.02123963],[0.12439773 0.25533059 0.02114179],1.2291872892339095,[0.06524079 0.03175836 0.07464138],91.07958927050974,0.15883803367614746
8,SLSQP,[0.02627779 0.18324842 0.0650555 ],[0.02627776 0.18324842 0.0650557 ],0.00010357901257600376,[0.13526792 0.00439709 0.04190107],95.48005273944956,0.2841343879699707
8,SLSQP,[0.03238997 0.23591031 0.11648262],[0.03232062 0.23588343 0.11641145],0.03883362091781382,[0.09381813 0.10018776 0.01479701],64.9748943291861,1.0483593940734863
8,SLSQP,[0.07990923 0.27602121 0.02759716],[0.07990883 0.27602116 0.02759752],0.0001857437458341869,[0.07703323 0.02340145 0.00970399],95.00593552659123,0.2873978614807129
8,SLSQP,[0.17466596 0.11122855 0.04374521],[0.17466609 0.11122855 0.04374529],7.332776467487694e-05,[0.10327504 0.02970367 0.01373991],66.86667963227781,0.9257023334503174
8,SLSQP,[0.23604572 0.00974404 0.00027167],[0.18076162 0.03207147 0.02592459],27.47422022924114,[0.10885561 0.0456681  0.04754762],17.805866646583862,0.12674832344055176
8,SLSQP,[0.08729595 0.11808989 0.21619823],[0.08730081 0.11808596 0.21620294],0.002996234407919851,[0.08094322 0.07667176 0.04326574],68.38713826296569,1.1086804866790771
8,SLSQP,[0.18456677 0.17377848 0.07601808],[0.17725564 0.17109209 0.07325655],3.12258422163352,[0.03802253 0.12734118 0.01015805],15.23914772956657,0.17526865005493164
8,SLSQP,[0.07602124 0.23950347 0.14506409],[0.07602137 0.23950345 0.14506405],4.819081486853198e-05,[0.04650345 0.02233351 0.05396356],68.65846176435143,0.4030346870422363
8,SLSQP,[0.19003375 0.17249364 0.01122094],[0.18486098 0.16972344 0.01171549],2.292278100096269,[0.09887764 0.06436196 0.04496189],49.369134904749025,0.17236828804016113
8,SLSQP,[0.16283331 0.16660216 0.161923  ],[0.15293414 0.15934918 0.15754908],4.592075113380826,[0.02587326 0.02829898 0.133374  ],39.290752741354076,0.15686392784118652
8,SLSQP,[0.00075888 0.09830524 0.26299765],[0.000758   0.09830543 0.26299695],0.0004071178824872113,[0.10320089 0.10055641 0.03583158],74.9835001618185,1.1451950073242188
8,SLSQP,[0.08379412 0.09662402 0.23781737],[0.08379408 0.09662409 0.2378178 ],0.0001594213270956907,[0.12551554 0.03682271 0.00592441],99.94130733307348,0.3056952953338623
8,SLSQP,[0.15667253 0.12683195 0.21026511],[0.14584627 0.1225697  0.19943498],5.457117102323811,[0.07845716 0.10333118 0.04950041],51.15965412380705,0.12692523002624512
8,SLSQP,[0.06686438 0.01956584 0.28663116],[0.06658533 0.0195825  0.28584484],0.2829162523248212,[0.04085333 0.10017217 0.0671082 ],71.81335065698029,0.17277264595031738
8,SLSQP,[0.15587929 0.22101255 0.06989601],[0.15209679 0.21715577 0.06881032],1.9725322496788695,[0.11437501 0.05930194 0.03212638],69.11219024196629,0.1615126132965088
8,SLSQP,[0.19402102 0.14864036 0.10898483],[0.18295545 0.14395308 0.10654222],4.582433423603493,[0.02885531 0.0560679  0.06442882],29.58330946728753,0.13527607917785645
8,SLSQP,[0.15984032 0.08831134 0.18809484],[0.15984027 0.08831136 0.18809482],2.455797644614061e-05,[0.12559297 0.0442816  0.03758664],63.813225385902996,1.1869609355926514
8,SLSQP,[0.00613362 0.21167871 0.17483441],[0.00614157 0.21167166 0.17483609],0.003917515928272571,[0.07081118 0.12366881 0.00518021],50.52051709906626,1.1459195613861084
8,SLSQP,[0.00835645 0.07630649 0.10431556],[0.00835656 0.07630665 0.10431535],0.00022318590330594766,[0.00136496 0.0705328  0.04599778],70.07868006047862,0.323397159576416
8,SLSQP,[0.08365172 0.09603802 0.26634406],[0.0829319  0.09549916 0.2645367 ],0.6837660254230121,[0.11061345 0.07083859 0.07235033],71.64870141834659,0.1480851173400879
