,model,method,main_point_given,main_point_inferred,main_point_error (%),middle_point_given,middle_point_error (%),time
33,modello_8.urdf,trac-ik,"0    0.034081
1    0.274415
2    0.052333
Name: 33, dtype: float64",[0.03408052 0.27441484 0.05233312],1.1058323337481693e-06,,-1,0.0005314350128173828
34,modello_8.urdf,trac-ik,"0    0.196132
1    0.042846
2    0.123677
Name: 34, dtype: float64",[0.19613053 0.04284559 0.12367775],0.0008986669493185683,,-1,0.00042128562927246094
35,modello_8.urdf,trac-ik,"0    0.203204
1    0.042666
2    0.199364
Name: 35, dtype: float64",[0 0 0],100.0,,-1,0.00520014762878418
36,modello_8.urdf,trac-ik,"0    0.243894
1    0.133194
2    0.026993
Name: 36, dtype: float64",[0 0 0],100.0,,-1,0.005203723907470703
37,modello_8.urdf,trac-ik,"0    0.041295
1    0.036007
2    0.065153
Name: 37, dtype: float64",[0 0 0],100.0,,-1,0.0052225589752197266
38,modello_8.urdf,trac-ik,"0    0.086062
1    0.198523
2    0.118012
Name: 38, dtype: float64",[0.08606031 0.19852175 0.11801155],0.000804158615179529,,-1,0.0004322528839111328
39,modello_8.urdf,trac-ik,"0    0.007476
1    0.174571
2    0.140090
Name: 39, dtype: float64",[0.00747673 0.17458057 0.14008347],0.005248108316930208,,-1,0.0008344650268554688
40,modello_8.urdf,trac-ik,"0    0.192827
1    0.017703
2    0.185221
Name: 40, dtype: float64",[0 0 0],100.0,,-1,0.005186557769775391
41,modello_8.urdf,trac-ik,"0    0.073646
1    0.110260
2    0.049534
Name: 41, dtype: float64",[0 0 0],100.0,,-1,0.005208730697631836
42,modello_8.urdf,trac-ik,"0    0.145360
1    0.038959
2    0.216602
Name: 42, dtype: float64",[0.14535958 0.0389591  0.21660247],1.3807629650186476e-05,,-1,0.00045871734619140625
43,modello_8.urdf,trac-ik,"0    0.218603
1    0.058358
2    0.062014
Name: 43, dtype: float64",[0 0 0],100.0,,-1,0.0051937103271484375
44,modello_8.urdf,trac-ik,"0    0.134617
1    0.150966
2    0.197950
Name: 44, dtype: float64",[0 0 0],100.0,,-1,0.005201101303100586
45,modello_8.urdf,trac-ik,"0    0.111903
1    0.161663
2    0.084234
Name: 45, dtype: float64",[0.11189814 0.161661   0.08423325],0.0022741194487044822,,-1,0.0006282329559326172
46,modello_8.urdf,trac-ik,"0    0.186905
1    0.126896
2    0.017030
Name: 46, dtype: float64",[0.18690311 0.12689637 0.01702909],0.0011293870594862633,,-1,0.0005466938018798828
47,modello_8.urdf,trac-ik,"0    0.049030
1    0.209473
2    0.024640
Name: 47, dtype: float64",[0 0 0],100.0,,-1,0.005190610885620117
48,modello_8.urdf,trac-ik,"0    0.213285
1    0.184855
2    0.045859
Name: 48, dtype: float64",[0 0 0],100.0,,-1,0.0051975250244140625
49,modello_8.urdf,trac-ik,"0    0.121273
1    0.036729
2    0.098851
Name: 49, dtype: float64",[0 0 0],100.0,,-1,0.005181074142456055
50,modello_8.urdf,trac-ik,"0    0.086388
1    0.204978
2    0.150210
Name: 50, dtype: float64",[0.08638834 0.20497788 0.1502096 ],3.2441098107598614e-05,,-1,0.0004241466522216797
51,modello_8.urdf,trac-ik,"0    0.019799
1    0.145152
2    0.018846
Name: 51, dtype: float64",[0 0 0],100.0,,-1,0.005233049392700195
52,modello_8.urdf,trac-ik,"0    0.191332
1    0.101876
2    0.145286
Name: 52, dtype: float64",[0 0 0],100.0,,-1,0.00518035888671875
53,modello_8.urdf,trac-ik,"0    0.285603
1    0.040619
2    0.061745
Name: 53, dtype: float64",[0 0 0],100.0,,-1,0.005254268646240234
54,modello_8.urdf,trac-ik,"0    0.116978
1    0.118487
2    0.064076
Name: 54, dtype: float64",[0 0 0],100.00000000000001,,-1,0.00519871711730957
55,modello_8.urdf,trac-ik,"0    0.260783
1    0.035373
2    0.025684
Name: 55, dtype: float64",[0 0 0],100.0,,-1,0.005199909210205078
56,modello_8.urdf,trac-ik,"0    0.211242
1    0.143857
2    0.154874
Name: 56, dtype: float64",[0 0 0],100.0,,-1,0.005225419998168945
57,modello_8.urdf,trac-ik,"0    0.083854
1    0.004062
2    0.086391
Name: 57, dtype: float64",[0 0 0],100.0,,-1,0.0052089691162109375
58,modello_8.urdf,trac-ik,"0    0.190613
1    0.117157
2    0.121700
Name: 58, dtype: float64",[0 0 0],100.0,,-1,0.005216836929321289
59,modello_8.urdf,trac-ik,"0    0.102133
1    0.095503
2    0.001049
Name: 59, dtype: float64",[0 0 0],100.0,,-1,0.0051729679107666016
60,modello_8.urdf,trac-ik,"0    0.188705
1    0.158905
2    0.023096
Name: 60, dtype: float64",[0.18870476 0.15890495 0.02309615],0.00010890184487487948,,-1,0.0012781620025634766
61,modello_8.urdf,trac-ik,"0    0.230451
1    0.040960
2    0.123893
Name: 61, dtype: float64",[0 0 0],100.0,,-1,0.005207538604736328
62,modello_8.urdf,trac-ik,"0    0.246365
1    0.063644
2    0.090181
Name: 62, dtype: float64",[0 0 0],100.0,,-1,0.005215883255004883
63,modello_8.urdf,trac-ik,"0    0.239032
1    0.105973
2    0.096158
Name: 63, dtype: float64",[0 0 0],100.0,,-1,0.005206584930419922
64,modello_8.urdf,trac-ik,"0    0.006503
1    0.240601
2    0.140418
Name: 64, dtype: float64",[0.00650322 0.24060141 0.14041773],7.248093742429307e-07,,-1,0.0004036426544189453
65,modello_8.urdf,trac-ik,"0    0.088129
1    0.123410
2    0.197915
Name: 65, dtype: float64",[0.08813194 0.12341248 0.19790703],0.0037657626081074157,,-1,0.0004966259002685547
66,modello_8.urdf,trac-ik,"0    0.127682
1    0.083291
2    0.006649
Name: 66, dtype: float64",[0 0 0],100.0,,-1,0.0051877498626708984
67,modello_8.urdf,trac-ik,"0    0.094328
1    0.127169
2    0.166644
Name: 67, dtype: float64",[0.09432453 0.12717008 0.16664177],0.0017768827586296875,,-1,0.00041675567626953125
68,modello_8.urdf,trac-ik,"0    0.030042
1    0.003531
2    0.124977
Name: 68, dtype: float64",[0 0 0],100.0,,-1,0.005213499069213867
69,modello_8.urdf,trac-ik,"0    0.113387
1    0.109129
2    0.108015
Name: 69, dtype: float64",[0.11338663 0.10913864 0.108019  ],0.005436197959270429,,-1,0.0017256736755371094
70,modello_8.urdf,trac-ik,"0    0.164078
1    0.208845
2    0.076679
Name: 70, dtype: float64",[0 0 0],100.0,,-1,0.005189418792724609
71,modello_8.urdf,trac-ik,"0    0.014660
1    0.252664
2    0.110157
Name: 71, dtype: float64",[0.0146595  0.25266419 0.11015682],1.4710587909139958e-05,,-1,0.0003921985626220703
72,modello_8.urdf,trac-ik,"0    0.238088
1    0.100799
2    0.028947
Name: 72, dtype: float64",[0 0 0],100.0,,-1,0.005177497863769531
73,modello_8.urdf,trac-ik,"0    0.220560
1    0.141385
2    0.040482
Name: 73, dtype: float64",[0 0 0],100.0,,-1,0.005207061767578125
74,modello_8.urdf,trac-ik,"0    0.274026
1    0.034861
2    0.106800
Name: 74, dtype: float64",[0 0 0],100.0,,-1,0.0052106380462646484
75,modello_8.urdf,trac-ik,"0    0.014927
1    0.117784
2    0.164224
Name: 75, dtype: float64",[0.01492702 0.11778405 0.16422393],9.200515739698828e-07,,-1,0.0014681816101074219
76,modello_8.urdf,trac-ik,"0    0.097099
1    0.157233
2    0.024918
Name: 76, dtype: float64",[0 0 0],100.0,,-1,0.005215883255004883
77,modello_8.urdf,trac-ik,"0    0.031098
1    0.057813
2    0.133194
Name: 77, dtype: float64",[0 0 0],100.0,,-1,0.005194425582885742
78,modello_8.urdf,trac-ik,"0    0.089978
1    0.081886
2    0.079617
Name: 78, dtype: float64",[0 0 0],100.0,,-1,0.005224943161010742
79,modello_8.urdf,trac-ik,"0    0.178879
1    0.212955
2    0.041395
Name: 79, dtype: float64",[0 0 0],100.0,,-1,0.005204677581787109
80,modello_8.urdf,trac-ik,"0    0.016143
1    0.221458
2    0.179202
Name: 80, dtype: float64",[0.01614203 0.22145425 0.17919979],0.0016550984557126762,,-1,0.0004622936248779297
81,modello_8.urdf,trac-ik,"0    0.238346
1    0.074821
2    0.087857
Name: 81, dtype: float64",[0 0 0],100.0,,-1,0.005179166793823242
82,modello_8.urdf,trac-ik,"0    0.153834
1    0.142444
2    0.107461
Name: 82, dtype: float64",[0.15383377 0.14244447 0.10746095],6.473232699833279e-07,,-1,0.0007250308990478516
83,modello_8.urdf,trac-ik,"0    0.040106
1    0.181036
2    0.013049
Name: 83, dtype: float64",[0 0 0],99.99999999999999,,-1,0.005172014236450195
