,model,method,main_point_given,main_point_inferred,main_point_error (%),middle_point_given,middle_point_error (%),time
30,d,COBYLA,[0.51696152 0.43217149 1.31262176],[0.49567888 0.41563353 1.27532468],3.11878592107681,[0.44998055 0.57804768 0.0986264 ],-1,1.4585695266723633
31,d,COBYLA,[0.30571947 1.14174847 0.56657123],[0.27718865 1.03090631 0.50529251],9.904819203399958,[0.37589774 0.25857647 0.46828868],-1,1.493985891342163
32,d,COBYLA,[0.74462693 0.44863158 0.9026292 ],[0.74473249 0.44866327 0.90279286],0.01574446295109089,[0.13135139 0.5762454  0.11886072],-1,1.1633508205413818
33,d,COBYLA,[0.16867271 0.60315383 1.17416437],[0.16873424 0.6032783  1.17437476],0.018941778860158725,[0.4731975  0.42437474 0.33069301],-1,1.2908077239990234
34,d,COBYLA,[0.62514202 0.12553118 0.81778827],[0.62512506 0.12550353 0.81785908],0.007511167475617475,[0.61736216 0.41200859 0.02798403],-1,0.9994528293609619
35,d,COBYLA,[0.53552473 1.08032168 0.53484093],[0.4653783  0.94288571 0.46397586],12.87251283023306,[0.24596973 0.02228433 0.21250166],-1,1.4953482151031494
36,d,COBYLA,[0.15527289 0.41192013 0.70249004],[0.15526895 0.41188563 0.70251259],0.004994273307689035,[0.34764631 0.16193365 0.10927585],-1,0.622199296951294
37,d,COBYLA,[0.55874587 0.94892161 0.66849705],[0.53863493 0.91298694 0.64183524],3.8081023119381996,[0.52949412 0.264608   0.21070367],-1,1.4372227191925049
38,d,COBYLA,[1.00531303 0.40356866 0.02806582],[1.00554521 0.40371784 0.02799823],0.026219808724497945,[0.49055019 0.00166681 0.3770084 ],-1,1.443424940109253
39,d,COBYLA,[1.34763503 0.15257792 0.16115135],[1.3087422  0.14965395 0.1609714 ],2.85571941618056,[0.16970321 0.19820818 0.0517247 ],-1,1.4730980396270752
